2025-06-24 00:14:59 [JetCacheDefaultExecutor] INFO  c.a.jetcache.support.StatInfoLogger - jetcache stat from 2025-06-23 23:59:59,976 to 2025-06-24 00:14:59,972
cache                                      |       qps|   rate|           get|           hit|          fail|        expire|avgLoadTime|maxLoadTime
-------------------------------------------+----------+-------+--------------+--------------+--------------+--------------+-----------+-----------
default-query-results-region:              |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
default-query-results-region:_local        |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
default-query-results-region:_remote       |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
default-update-timestamps-region:          |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
default-update-timestamps-region:_local    |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
default-update-timestamps-region:_remote   |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:access_limited:           |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:access_limited:_local     |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:access_limited:_remote    |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:graphic:          |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:graphic:_local    |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:graphic:_remote   |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:jigsaw:           |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:jigsaw:_local     |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:jigsaw:_remote    |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:word_click:       |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:word_click:_local |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:word_click:_remote|      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:idempotent:               |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:idempotent:_local         |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:idempotent:_remote        |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:secure_key:               |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:secure_key:_local         |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:secure_key:_remote        |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
test2:                                     |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
test2:_local                               |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
test2:_remote                              |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
-------------------------------------------+----------+-------+--------------+--------------+--------------+--------------+-----------+-----------

2025-06-24 00:29:59 [JetCacheDefaultExecutor] INFO  c.a.jetcache.support.StatInfoLogger - jetcache stat from 2025-06-24 00:14:59,972 to 2025-06-24 00:29:59,988
cache                                      |       qps|   rate|           get|           hit|          fail|        expire|avgLoadTime|maxLoadTime
-------------------------------------------+----------+-------+--------------+--------------+--------------+--------------+-----------+-----------
default-query-results-region:              |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
default-query-results-region:_local        |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
default-query-results-region:_remote       |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
default-update-timestamps-region:          |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
default-update-timestamps-region:_local    |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
default-update-timestamps-region:_remote   |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:access_limited:           |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:access_limited:_local     |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:access_limited:_remote    |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:graphic:          |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:graphic:_local    |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:graphic:_remote   |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:jigsaw:           |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:jigsaw:_local     |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:jigsaw:_remote    |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:word_click:       |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:word_click:_local |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:captcha:word_click:_remote|      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:idempotent:               |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:idempotent:_local         |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:idempotent:_remote        |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:secure_key:               |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:secure_key:_local         |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:secure_key:_remote        |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
test2:                                     |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
test2:_local                               |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
test2:_remote                              |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
-------------------------------------------+----------+-------+--------------+--------------+--------------+--------------+-----------+-----------

2025-06-24 00:44:59 [JetCacheDefaultExecutor] INFO  c.a.jetcache.support.StatInfoLogger - jetcache stat from 2025-06-24 00:29:59,988 to 2025-06-24 00:44:59,993
cache                                      |       qps|   rate|           get|           hit|          fail|        expire|avgLoadTime|maxLoadTime
-------------------------------------------+----------+-------+--------------+--------------+--------------+--------------+-----------+-----------
default-query-results-region:              |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
default-query-results-region:_local        |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
default-query-results-region:_remote       |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
default-update-timestamps-region:          |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
default-update-timestamps-region:_local    |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
default-update-timestamps-region:_remote   |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:access_limited:           |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:access_limited:_local     |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
goya:cache:token:access_limited:_remote    |      0.00|  0.00%|             0|             0|             0|             0|        0.0|          0
